product_id,brand,product_name,type,material,color,list_price,sell_price,discount_pct,rating,review_count,market_position
PROD0001,Safari,Safari Cabin Polycarbonate Blue Luggage,Cabin,Polycarbonate,Blue,4506,3514,22,4.3,621,mid-premium
PROD0002,Safari,Safari Cabin Softside Navy Blue Luggage,Cabin,Softside,Navy Blue,7337,5282,28,4.0,180,mid-premium
PROD0003,Safari,Safari Cabin Polycarbonate Grey Luggage,Cabin,Polycarbonate,Grey,4405,3039,31,4.4,2515,mid-premium
PROD0004,Safari,Safari Cabin Softside Grey Luggage,Cabin,Softside,Grey,7823,5319,32,4.7,1768,mid-premium
PROD0005,Safari,Safari Medium Hardside Blue Luggage,Medium,Hardside,Blue,2553,2042,20,4.0,2909,mid-premium
PROD0006,Safari,Safari Set of 2 Fabric Blue Luggage,Set of 2,Fabric,Blue,3773,2980,21,4.0,1428,mid-premium
PROD0007,Safari,Safari Cabin Polycarbonate Purple Luggage,Cabin,Polycarbonate,Purple,3292,2436,26,4.7,1458,mid-premium
PROD0008,Safari,Safari Set of 3 Fabric Black Luggage,Set of 3,Fabric,Black,6263,4258,32,4.4,561,mid-premium
PROD0009,Safari,Safari Set of 2 Polycarbonate Blue Luggage,Set of 2,Polycarbonate,Blue,7649,5048,34,3.9,1531,mid-premium
PROD0010,Safari,Safari Set of 3 ABS Navy Blue Luggage,Set of 3,ABS,Navy Blue,2875,2242,22,4.3,1235,mid-premium
PROD0011,Safari,Safari Cabin ABS Navy Blue Luggage,Cabin,ABS,Navy Blue,5613,4322,23,3.9,1907,mid-premium
PROD0012,Safari,Safari Large ABS Green Luggage,Large,ABS,Green,5410,4273,21,3.9,2795,mid-premium
PROD0013,Safari,Safari Large Polycarbonate Red Luggage,Large,Polycarbonate,Red,6875,5362,22,4.2,719,mid-premium
PROD0014,Safari,Safari Set of 2 Hardside Blue Luggage,Set of 2,Hardside,Blue,7742,5264,32,3.3,949,mid-premium
PROD0015,Safari,Safari Large Polycarbonate Grey Luggage,Large,Polycarbonate,Grey,2762,2071,25,3.4,1693,mid-premium
PROD0016,Skybags,Skybags Cabin ABS Green Luggage,Cabin,ABS,Green,3541,2124,40,3.7,2094,value
PROD0017,Skybags,Skybags Set of 2 Hardside Red Luggage,Set of 2,Hardside,Red,3969,3016,24,3.5,1060,value
PROD0018,Skybags,Skybags Set of 3 Softside Blue Luggage,Set of 3,Softside,Blue,5309,3291,38,4.0,1685,value
PROD0019,Skybags,Skybags Large ABS Red Luggage,Large,ABS,Red,5974,3883,35,3.5,422,value
PROD0020,Skybags,Skybags Cabin Polycarbonate Red Luggage,Cabin,Polycarbonate,Red,3110,1710,45,3.3,2837,value
PROD0021,Skybags,Skybags Set of 2 Softside Navy Blue Luggage,Set of 2,Softside,Navy Blue,4952,3367,32,4.5,2490,value
PROD0022,Skybags,Skybags Set of 2 Softside Blue Luggage,Set of 2,Softside,Blue,1894,1117,41,3.8,519,value
PROD0023,Skybags,Skybags Set of 3 Fabric Green Luggage,Set of 3,Fabric,Green,2713,1926,29,3.9,1830,value
PROD0024,Skybags,Skybags Medium Hardside Black Luggage,Medium,Hardside,Black,3957,2532,36,3.3,781,value
PROD0025,Skybags,Skybags Set of 3 Polycarbonate Blue Luggage,Set of 3,Polycarbonate,Blue,5958,3634,39,3.7,864,value
PROD0026,Skybags,Skybags Medium Fabric Red Luggage,Medium,Fabric,Red,1804,1100,39,3.9,1377,value
PROD0027,Skybags,Skybags Set of 2 Polycarbonate Navy Blue Luggage,Set of 2,Polycarbonate,Navy Blue,4773,2625,45,3.4,1309,value
PROD0028,American Tourister,American Tourister Cabin ABS Navy Blue Luggage,Cabin,ABS,Navy Blue,4903,3677,25,4.5,333,premium
PROD0029,American Tourister,American Tourister Set of 3 ABS Red Luggage,Set of 3,ABS,Red,11287,8239,27,4.1,726,premium
PROD0030,American Tourister,American Tourister Large Softside Purple Luggage,Large,Softside,Purple,6970,5088,27,4.2,2875,premium
PROD0031,American Tourister,American Tourister Medium Fabric Purple Luggage,Medium,Fabric,Purple,9618,7309,24,4.1,2169,premium
PROD0032,American Tourister,American Tourister Set of 2 Polycarbonate Grey Luggage,Set of 2,Polycarbonate,Grey,7181,6319,12,5.0,1434,premium
PROD0033,American Tourister,American Tourister Cabin Softside Grey Luggage,Cabin,Softside,Grey,7108,6397,10,4.3,340,premium
PROD0034,American Tourister,American Tourister Cabin ABS Navy Blue Luggage,Cabin,ABS,Navy Blue,4014,3211,20,3.9,340,premium
PROD0035,American Tourister,American Tourister Set of 3 ABS Blue Luggage,Set of 3,ABS,Blue,11453,9620,16,4.6,2258,premium
PROD0036,American Tourister,American Tourister Medium Softside Maroon Luggage,Medium,Softside,Maroon,7481,5610,25,3.8,1717,premium
PROD0037,American Tourister,American Tourister Medium Polycarbonate Navy Blue Luggage,Medium,Polycarbonate,Navy Blue,10562,8343,21,4.4,1784,premium
