review_id,product_id,brand,star_rating,sentiment,review_text,review_date,wheels_score,handle_score,zipper_score,material_score,size_score,durability_score
REV000001,PROD0001,Safari,5,positive,Superb durable material! My family loved it.,2025-05-01,4.3,2.8,3.5,3.1,3.6,2.8
REV000002,PROD0001,Safari,5,positive,Superb build quality! My family loved it.,2024-09-16,3.9,3.1,3.4,3.5,3.2,3.2
REV000003,PROD0001,Safari,5,positive,Superb build quality! My family loved it.,2025-10-09,4.3,3.4,3.0,3.7,3.6,3.5
REV000004,PROD0001,Safari,4,positive,The build quality is excellent! Very happy with this purchase.,2025-11-01,3.9,3.2,3.8,2.6,3.1,3.4
REV000005,PROD0001,Safari,5,positive,The durable material works perfectly. Highly recommended!,2024-11-10,3.7,3.5,3.8,3.8,3.8,3.7
REV000006,PROD0001,Safari,5,positive,Really impressed with the wheels. Worth every rupee.,2026-02-08,4.2,3.7,3.5,4.0,3.4,3.9
REV000007,PROD0001,Safari,3,neutral,Okay product for the price. limited colors is standard.,2024-07-12,4.1,3.9,3.2,2.7,3.8,3.2
REV000008,PROD0001,Safari,2,negative,weight stopped working within a month. Waste of money.,2024-10-14,3.9,2.6,2.9,2.9,3.0,3.3
REV000009,PROD0001,Safari,4,positive,The wheels works perfectly. Highly recommended!,2025-03-04,3.6,3.1,3.3,3.1,2.8,3.1
REV000010,PROD0001,Safari,3,neutral,Decent product overall. limited colors is okay.,2024-08-10,4.8,3.6,3.1,2.5,3.0,3.6
REV000011,PROD0001,Safari,3,neutral,Okay product for the price. limited colors is standard.,2025-01-26,4.7,3.8,3.2,2.9,3.2,3.1
REV000012,PROD0001,Safari,2,negative,Poor quality weight. Expected better for this price.,2025-10-13,5.0,3.3,3.9,3.4,3.5,2.6
REV000013,PROD0001,Safari,5,positive,Superb build quality! My family loved it.,2025-09-26,4.1,2.8,3.0,3.6,3.1,3.6
REV000014,PROD0001,Safari,3,neutral,Not great not terrible. zipper quality meets basic needs.,2025-07-16,3.5,3.3,4.0,3.0,3.5,3.7
REV000015,PROD0001,Safari,1,negative,Very disappointed with the zipper quality. Broke after first use.,2025-07-21,4.4,2.9,3.2,2.7,3.9,3.2
